sales_agent,account,engage_date,close_date,close_value,sales_price,year_established,revenue,employees,office_location,has_close_date,close_value_log,revenue_log,employees_log,product_GTK 500,product_GTX BASIC,product_GTX PLUS BASIC,product_GTX PLUS PRO,product_GTX PRO,product_MG ADVANCED,product_MG SPECIAL,manager_CARA LOSCH,manager_CELIA ROUCHE,manager_DUSTIN BRINKMANN,manager_MELVIN MARXEN,manager_ROCCO NEUBERT,manager_SUMMER SEWALD,regional_office_CENTRAL,regional_office_EAST,regional_office_WEST,series_GTK,series_GTX,series_MG,sector_EMPLOYMENT,sector_ENTERTAINMENT,sector_FINANCE,sector_MARKETING,sector_MEDICAL,sector_RETAIL,sector_SERVICES,sector_SOFTWARE,sector_TECHNOLGY,sector_TELECOMMUNICATIONS,subsidiary_of_ACME CORPORATION,subsidiary_of_BUBBA GUMP,subsidiary_of_GOLDDEX,subsidiary_of_INITY,subsidiary_of_MASSIVE DYNAMIC,subsidiary_of_SONRON,subsidiary_of_WAREPHASE,deal_stage_ENGAGING,deal_stage_LOST,deal_stage_PROSPECTING,deal_stage_WON,sales_price_scaled,decade_1970s,decade_1980s,decade_1990s,decade_2000s,decade_2010s,engage_year,engage_month,engage_dayofweek,days_to_close,closed_within_30d,account_age,rev_per_employee,agent_closed_deals,won_deal,account_win_rate
10,27,2016-11-04,2017-03-18,0.0,4821,2007.0,894.33,1635.0,4,1,0.0,6.797192365399952,7.400009517162692,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.9287953755560797,0,0,0,1,0,2016.0,11.0,4.0,134.0,0,18.0,0.5469908256880734,232,1,0.925531914893617
12,69,2016-11-04,2017-03-10,5169.0,5482,2008.0,894.37,1593.0,12,1,8.550627967502475,6.797237040666615,7.374001859350161,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.1802127848300799,0,0,0,1,0,2016.0,11.0,4.0,126.0,0,17.0,0.5614375392341494,206,1,0.9577464788732394
19,64,2016-11-04,2017-03-06,4631.0,5482,1999.0,1699.85,5108.0,14,1,8.440744019252831,7.438883405085958,8.538758969330798,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.1802127848300799,0,0,1,0,0,2016.0,11.0,4.0,122.0,0,26.0,0.33278191072826935,213,1,0.9240506329113924
11,23,2016-11-05,2017-03-11,3393.0,3393,1988.0,2059.9,3644.0,14,1,8.129764445794171,7.630898059577463,8.201111644442758,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.38564248532420037,0,1,0,0,0,2016.0,11.0,5.0,126.0,0,37.0,0.5652854006586169,152,1,0.9101123595505618
23,64,2016-11-05,2017-03-03,0.0,55,1999.0,1699.85,5108.0,14,1,0.0,7.438883405085958,8.538758969330798,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,-0.8839964135511591,0,0,1,0,0,2016.0,11.0,5.0,118.0,0,26.0,0.33278191072826935,110,1,0.9240506329113924
23,60,2016-11-05,2017-03-06,3284.0,3393,1996.0,5970.82,13798.0,14,1,8.09712193091871,8.694807017548445,9.532351404751555,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.38564248532420037,0,0,1,0,0,2016.0,11.0,5.0,121.0,0,29.0,0.4327308305551529,110,1,0.9333333333333333
25,72,2016-11-06,2017-03-05,61.0,55,1988.0,5266.09,8595.0,14,1,4.127134385045092,8.569233306863506,9.059052257762401,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8839964135511591,0,1,0,0,0,2016.0,11.0,6.0,119.0,0,37.0,0.6126922629435718,264,1,0.9137931034482759
5,77,2016-11-07,2017-03-09,0.0,4821,1989.0,3838.39,8274.0,14,1,0.0,8.253068778796447,9.020994200245264,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.9287953755560797,0,1,0,0,0,2016.0,11.0,0.0,122.0,0,36.0,0.4639098380468939,187,1,0.8829787234042553
8,57,2016-11-07,2017-03-08,46.0,55,1994.0,1188.42,3015.0,14,1,3.8501476017100584,7.081221072332061,8.011686729127847,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.8839964135511591,0,0,1,0,0,2016.0,11.0,0.0,121.0,0,31.0,0.39416915422885573,126,1,0.9420289855072463
12,20,2016-11-07,2017-03-17,0.0,5482,1990.0,4968.91,7523.0,14,1,0.0,8.511157010274799,8.925853190420922,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.1802127848300799,0,0,1,0,0,2016.0,11.0,0.0,130.0,0,35.0,0.6604958128406221,206,1,0.9529411764705882
20,58,2016-11-07,2017-03-18,50.0,55,1992.0,3922.42,6837.0,14,1,3.9318256327243257,8.274719001401705,8.830250570199247,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8839964135511591,0,0,1,0,0,2016.0,11.0,0.0,131.0,0,33.0,0.5737048413046658,195,1,0.9553571428571429
27,74,2016-11-07,2017-03-11,1014.0,1096,1993.0,646.1,883.0,14,1,6.922643891475888,6.47250084206322,6.784457062637643,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.48804252088212097,0,0,1,0,0,2016.0,11.0,0.0,124.0,0,32.0,0.7317100792751983,193,1,0.8636363636363636
6,75,2016-11-08,2017-03-26,561.0,550,1997.0,2041.73,5276.0,14,1,6.331501849893691,7.622042427493597,8.571113033405668,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.6957186259707807,0,0,1,0,0,2016.0,11.0,1.0,138.0,0,28.0,0.38698445792266867,553,1,0.9528301886792453
14,82,2016-11-10,2017-03-23,590.0,550,1992.0,324.19,978.0,14,1,6.3818160174060985,5.7844096268933525,6.88653164253051,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.6957186259707807,0,0,1,0,0,2016.0,11.0,3.0,133.0,0,33.0,0.33148261758691205,272,1,0.7931034482758621
19,25,2016-11-10,,,3393,1995.0,5158.71,13798.0,5,0,,8.548635655345855,9.532351404751555,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.38564248532420037,0,0,1,0,0,2016.0,11.0,3.0,,0,30.0,0.3738737498188143,213,0,0.9259259259259259
25,3,2016-11-10,2017-03-12,61.0,55,2012.0,587.34,1356.0,11,1,4.127134385045092,6.377305012079846,7.213031659834869,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8839964135511591,0,0,0,0,1,2016.0,11.0,3.0,122.0,0,13.0,0.433141592920354,264,1,0.9042553191489362
27,77,2016-11-10,2017-03-11,0.0,5482,1989.0,3838.39,8274.0,14,1,0.0,8.253068778796447,9.020994200245264,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.1802127848300799,0,1,0,0,0,2016.0,11.0,3.0,121.0,0,36.0,0.4639098380468939,193,1,0.8829787234042553
8,9,2016-11-11,2017-03-05,58.0,55,1993.0,4269.9,6472.0,14,1,4.07753744390572,8.35957985684692,8.77539495854551,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.8839964135511591,0,0,1,0,0,2016.0,11.0,4.0,114.0,0,32.0,0.6597496909765141,126,1,0.9183673469387755
19,45,2016-11-11,2017-03-14,4899.0,4821,1985.0,2741.37,9226.0,14,1,8.496990484098719,7.916577789020406,9.129889247578555,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9287953755560797,0,1,0,0,0,2016.0,11.0,4.0,123.0,0,40.0,0.2971352698894429,213,1,0.8765432098765432
24,83,2016-11-11,2017-03-01,0.0,3393,1979.0,4478.47,13798.0,14,1,0.0,8.407260014839183,9.532351404751555,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.38564248532420037,1,0,0,0,0,2016.0,11.0,4.0,110.0,0,46.0,0.32457385128279465,121,1,0.9333333333333333
25,14,2016-11-11,2017-03-03,67.0,55,1995.0,2173.98,2928.0,14,1,4.219507705176107,7.684774748078207,7.982416346827733,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.8839964135511591,0,0,1,0,0,2016.0,11.0,4.0,112.0,0,30.0,0.7424795081967214,264,1,0.9891304347826086
12,76,2016-11-12,2017-03-06,4338.0,4821,1993.0,5970.82,13798.0,14,1,8.37539918579835,8.694807017548445,9.532351404751555,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9287953755560797,0,0,1,0,0,2016.0,11.0,5.0,114.0,0,32.0,0.4327308305551529,206,1,0.9080459770114943
15,20,2016-11-12,2017-03-19,578.0,550,1990.0,4968.91,7523.0,14,1,6.361302477572996,8.511157010274799,8.925853190420922,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.6957186259707807,0,0,1,0,0,2016.0,11.0,5.0,127.0,0,35.0,0.6604958128406221,335,1,0.9529411764705882
22,0,2016-11-12,2017-03-01,556.0,550,1996.0,1100.04,2822.0,14,1,6.322565239927284,7.004010466671277,7.945555428253489,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.6957186259707807,0,0,1,0,0,2016.0,11.0,5.0,109.0,0,29.0,0.3898086463501063,237,1,0.8529411764705882
23,32,2016-11-12,2017-03-03,635.0,550,2003.0,692.19,1922.0,14,1,6.455198563340122,6.541304131886272,7.56164174558878,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.6957186259707807,0,0,0,1,0,2016.0,11.0,5.0,111.0,0,22.0,0.36014047866805415,110,1,0.8888888888888888
28,70,2016-11-12,2017-03-07,3045.0,3393,1996.0,439.21,792.0,14,1,8.021584533455107,6.0872518857811775,6.675823221634848,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.38564248532420037,0,0,1,0,0,2016.0,11.0,5.0,115.0,0,29.0,0.5545580808080808,79,1,0.8461538461538461
9,48,2016-11-13,2017-03-14,1233.0,1096,1984.0,3027.46,9516.0,6,1,7.1180162044653335,8.015809518475102,9.160834952072344,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.48804252088212097,0,1,0,0,0,2016.0,11.0,6.0,121.0,0,41.0,0.31814417822614544,123,1,0.9204545454545454
25,84,2016-11-13,2017-03-09,60.0,55,1984.0,441.08,1210.0,14,1,4.110873864173311,6.091490861175107,7.099201743553092,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8839964135511591,0,1,0,0,0,2016.0,11.0,6.0,116.0,0,41.0,0.3645289256198347,264,1,0.9047619047619048
0,29,2016-11-14,2017-03-30,0.0,55,2007.0,86.68,187.0,14,1,0.0,4.473693823199706,5.236441962829949,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-0.8839964135511591,0,0,0,1,0,2016.0,11.0,0.0,136.0,0,18.0,0.4635294117647059,336,1,0.9240506329113924
6,65,2016-11-14,2017-03-08,0.0,550,1987.0,1698.2,3798.0,14,1,0.0,7.43791283104762,8.242493153187626,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.6957186259707807,0,1,0,0,0,2016.0,11.0,0.0,114.0,0,38.0,0.4471300684570827,553,1,0.9433962264150944
6,44,2016-11-14,2017-03-20,1170.0,1096,1985.0,375.43,1190.0,14,1,7.065613363597717,5.930732106979362,7.0825485693553,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.48804252088212097,0,1,0,0,0,2016.0,11.0,0.0,126.0,0,40.0,0.3154873949579832,553,1,0.8648648648648649
14,35,2016-11-14,,,550,1995.0,1698.2,3492.0,14,0,,7.43791283104762,8.158516244806831,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.6957186259707807,0,0,1,0,0,2016.0,11.0,0.0,,0,30.0,0.48631156930126,272,0,0.11876923076923077
18,27,2016-11-15,2017-03-20,1162.0,1096,2007.0,894.33,1635.0,4,1,7.0587581525186645,6.797192365399952,7.400009517162692,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.48804252088212097,0,0,0,1,0,2016.0,11.0,1.0,125.0,0,18.0,0.5469908256880734,194,1,0.925531914893617
2,35,2016-11-16,,,4821,1995.0,1698.2,3492.0,14,0,,7.43791283104762,8.158516244806831,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.9287953755560797,0,0,1,0,0,2016.0,11.0,2.0,,0,30.0,0.48631156930126,261,0,0.11876923076923077
6,12,2016-11-16,2017-03-14,3725.0,3393,2005.0,1520.66,1806.0,14,1,8.223090551161533,7.3275571231903545,7.499423290592229,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.38564248532420037,0,0,0,1,0,2016.0,11.0,2.0,118.0,0,20.0,0.8420044296788484,553,1,0.9072164948453608
15,30,2016-11-16,2017-03-31,559.0,550,2008.0,52.5,165.0,14,1,6.327936783729195,3.979681653901961,5.111987788356544,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.6957186259707807,0,0,0,1,0,2016.0,11.0,2.0,135.0,0,17.0,0.3181818181818182,335,1,0.90625
23,53,2016-11-16,2017-03-11,0.0,550,2001.0,2437.85,4874.0,14,1,0.0,7.799281895709674,8.491875383431948,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.6957186259707807,0,0,0,1,0,2016.0,11.0,2.0,115.0,0,24.0,0.5001743947476405,110,1,0.9024390243902439
6,59,2016-11-17,2017-03-21,0.0,1096,1983.0,1008.06,1238.0,14,1,0.0,6.916774483402297,7.122059881629142,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.48804252088212097,0,1,0,0,0,2016.0,11.0,3.0,124.0,0,42.0,0.8142649434571889,553,1,0.9230769230769231
12,64,2016-11-17,2017-03-05,4667.0,5482,1999.0,1699.85,5108.0,14,1,8.448485993406447,7.438883405085958,8.538758969330798,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.1802127848300799,0,0,1,0,0,2016.0,11.0,3.0,108.0,0,26.0,0.33278191072826935,206,1,0.9240506329113924
18,22,2016-11-17,2017-03-17,903.0,1096,2006.0,1102.43,1759.0,14,1,6.806829360392176,7.00617878915823,7.473069088032197,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.48804252088212097,0,0,0,1,0,2016.0,11.0,3.0,120.0,0,19.0,0.6267367822626493,194,1,0.9117647058823529
19,23,2016-11-17,2017-03-13,1180.0,1096,1988.0,2059.9,3644.0,14,1,7.074116816197362,7.630898059577463,8.201111644442758,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.48804252088212097,0,1,0,0,0,2016.0,11.0,3.0,116.0,0,37.0,0.5652854006586169,213,1,0.9101123595505618
21,58,2016-11-17,2017-03-05,487.0,550,1992.0,3922.42,6837.0,14,1,6.1903154058531475,8.274719001401705,8.830250570199247,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.6957186259707807,0,0,1,0,0,2016.0,11.0,3.0,108.0,0,33.0,0.5737048413046658,175,1,0.9553571428571429
16,65,2016-11-18,2017-03-04,3180.0,3393,1987.0,1698.2,3798.0,14,1,8.064950891749143,7.43791283104762,8.242493153187626,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.38564248532420037,0,1,0,0,0,2016.0,11.0,4.0,106.0,0,38.0,0.4471300684570827,231,1,0.9433962264150944
6,24,2016-11-19,2017-03-17,0.0,4821,1991.0,2819.5,7227.0,14,1,0.0,7.944669453180031,8.885717651712119,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.9287953755560797,0,0,1,0,0,2016.0,11.0,5.0,118.0,0,34.0,0.3901342189013422,553,1,0.908256880733945
6,29,2016-11-19,2017-03-18,3563.0,3393,2007.0,86.68,187.0,14,1,8.1786387885907,4.473693823199706,5.236441962829949,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.38564248532420037,0,0,0,1,0,2016.0,11.0,5.0,119.0,0,18.0,0.4635294117647059,553,1,0.9240506329113924
14,35,2016-11-19,,,1096,1995.0,1698.2,3492.0,14,0,,7.43791283104762,8.158516244806831,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.48804252088212097,0,0,1,0,0,2016.0,11.0,5.0,,0,30.0,0.48631156930126,272,0,0.11876923076923077
1,52,2016-11-20,2017-03-23,4704.0,4821,1994.0,355.23,853.0,14,1,8.45638105201948,5.875576589656054,6.74993119378857,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9287953755560797,0,0,1,0,0,2016.0,11.0,6.0,123.0,0,31.0,0.4164478311840563,153,1,0.8333333333333334
7,62,2016-11-20,2017-03-14,5585.0,5482,1994.0,2818.38,6290.0,14,1,8.628018746505122,7.944272281603784,8.74687531957003,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.1802127848300799,0,0,1,0,0,2016.0,11.0,6.0,114.0,0,31.0,0.4480731319554849,275,1,0.875
8,82,2016-11-20,2017-03-09,25897.0,26768,1992.0,324.19,978.0,14,1,10.161921024628786,5.7844096268933525,6.88653164253051,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.276538009953178,0,0,1,0,0,2016.0,11.0,6.0,109.0,0,33.0,0.33148261758691205,126,1,0.7931034482758621
